sand,silt,clay,bd
0.762,0.173,0.065,1.43
0.856,0.034,0.11,1.59
0.571,0.339,0.09,1.55
0.927,0.058,0.015,1.49
0.917,0.068,0.015,1.42
0.948,0.027,0.025,1.61
0.15,0.705,0.145,1.47
0.182,0.688,0.13,1.5
0.08,0.68,0.24,1.52
0.317,0.583,0.1,1.51
0.4,0.475,0.125,1.58
0.282,0.608,0.11,1.46
0.268,0.637,0.095,1.48
0.13,0.725,0.145,1.43
0.069,0.751,0.18,1.47
0.139,0.706,0.155,1.45
0.098,0.742,0.16,1.54
0.078,0.807,0.115,1.51
0.076,0.729,0.195,1.46
0.09,0.78,0.13,1.39
0.09,0.775,0.135,1.47
0.107,0.788,0.105,1.41
0.094,0.741,0.165,1.47
0.1,0.74,0.16,1.47
0.477,0.398,0.125,1.55
0.416,0.394,0.19,1.49
0.415,0.45,0.135,1.51
0.405,0.42,0.175,1.57
0.396,0.414,0.19,1.49
0.52,0.36,0.12,1.66
0.114,0.706,0.18,1.41
0.118,0.697,0.185,1.53
0.157,0.693,0.15,1.43
0.227,0.442,0.33,1.3
0.238,0.437,0.324,1.23
0.355,0.489,0.156,1.25
0.309,0.554,0.137,1.27
0.141,0.351,0.508,1.24
0.108,0.373,0.519,1.19
0.928,0.026,0.045,1.61
0.544,0.329,0.128,1.52
0.481,0.398,0.121,1.39
0.326,0.486,0.188,1.57
0.461,0.396,0.144,1.6
0.642,0.135,0.222,1.48
0.08,0.735,0.185,1.44
0.311,0.559,0.132,1.49
0.259,0.607,0.135,1.57
0.295,0.566,0.139,1.61
0.321,0.566,0.113,1.49
0.262,0.593,0.145,1.45
0.254,0.609,0.138,1.46
0.276,0.592,0.134,1.51
0.153,0.687,0.16,1.52
0.109,0.676,0.215,1.52
0.115,0.74,0.145,1.46
0.177,0.693,0.13,1.66
0.109,0.706,0.185,1.44
0.086,0.794,0.12,1.45
0.716,0.19,0.094,1.37
0.871,0.129,0,1.59
0.277,0.508,0.215,1.37
0.928297812,0.061702188,0.01,1.622
0.141275928,0.718724072,0.14,1.56
